Title,Rank,Mean Score,Genres,Number of Episodes,Media Type,Studios,Start Date
Mushishi Zoku Shou 2nd Season,50,8.73,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 13, 'name': 'Historical'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",10,tv,"[{'id': 8, 'name': 'Artland'}]",2014-10-19
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,51,8.72,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 43, 'name': 'Josei'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 70, 'name': 'Performing Arts'}]",12,tv,"[{'id': 37, 'name': 'Studio Deen'}]",2017-01-07
Ashita no Joe 2,52,8.72,"[{'id': 54, 'name': 'Combat Sports'}, {'id': 8, 'name': 'Drama'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}]",47,tv,"[{'id': 65, 'name': 'Tokyo Movie Shinsha'}]",1980-10-13
86 Part 2,53,8.71,"[{'id': 1, 'name': 'Action'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}]",12,tv,"[{'id': 56, 'name': 'A-1 Pictures'}]",2021-10-03
Mob Psycho 100 III,54,8.71,"[{'id': 1, 'name': 'Action'}, {'id': 4, 'name': 'Comedy'}, {'id': 31, 'name': 'Super Power'}, {'id': 37, 'name': 'Supernatural'}]",12,tv,"[{'id': 4, 'name': 'Bones'}]",2022-10-06
One Piece,55,8.71,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",0,tv,"[{'id': 18, 'name': 'Toei Animation'}]",1999-10-20
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,56,8.7,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 17, 'name': 'Martial Arts'}, {'id': 22, 'name': 'Romance'}, {'id': 21, 'name': 'Samurai'}, {'id': 27, 'name': 'Shounen'}]",4,ova,"[{'id': 37, 'name': 'Studio Deen'}]",1999-02-20
Code Geass: Hangyaku no Lelouch,57,8.7,"[{'id': 1, 'name': 'Action'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 23, 'name': 'School'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 31, 'name': 'Super Power'}]",25,tv,"[{'id': 14, 'name': 'Sunrise'}]",2006-10-06
Great Teacher Onizuka,58,8.69,"[{'id': 4, 'name': 'Comedy'}, {'id': 55, 'name': 'Delinquents'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 48, 'name': 'Workplace'}]",43,tv,"[{'id': 1, 'name': 'Pierrot'}]",1999-06-30
Mushishi Zoku Shou,59,8.69,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 13, 'name': 'Historical'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",10,tv,"[{'id': 8, 'name': 'Artland'}]",2014-04-05
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,60,8.69,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 9, 'name': 'Ecchi'}, {'id': 10, 'name': 'Fantasy'}, {'id': 62, 'name': 'Isekai'}, {'id': 72, 'name': 'Reincarnation'}]",12,tv,"[{'id': 1993, 'name': 'Studio Bind'}]",2021-10-04
Shiguang Dailiren,61,8.69,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 8, 'name': 'Drama'}, {'id': 7, 'name': 'Mystery'}, {'id': 37, 'name': 'Supernatural'}, {'id': 41, 'name': 'Suspense'}, {'id': 78, 'name': 'Time Travel'}]",11,ona,"[{'id': 1774, 'name': 'LAN Studio'}]",2021-04-30
Odd Taxi,62,8.68,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 51, 'name': 'Anthropomorphic'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 7, 'name': 'Mystery'}, {'id': 68, 'name': 'Organized Crime'}, {'id': 41, 'name': 'Suspense'}]",13,tv,"[{'id': 28, 'name': 'OLM'}, {'id': 1872, 'name': 'P.I.C.S.'}]",2021-04-06
Mononoke Hime,63,8.67,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 46, 'name': 'Award Winning'}, {'id': 10, 'name': 'Fantasy'}]",1,movie,"[{'id': 21, 'name': 'Studio Ghibli'}]",1997-07-12
Bungou Stray Dogs 5th Season,64,8.67,"[{'id': 1, 'name': 'Action'}, {'id': 50, 'name': 'Adult Cast'}, {'id': 39, 'name': 'Detective'}, {'id': 7, 'name': 'Mystery'}, {'id': 68, 'name': 'Organized Crime'}, {'id': 42, 'name': 'Seinen'}, {'id': 31, 'name': 'Super Power'}, {'id': 37, 'name': 'Supernatural'}, {'id': 32, 'name': 'Vampire'}]",11,tv,"[{'id': 4, 'name': 'Bones'}]",2023-07-12
Fate/stay night Movie: Heaven's Feel - III. Spring Song,65,8.67,"[{'id': 1, 'name': 'Action'}, {'id': 10, 'name': 'Fantasy'}, {'id': 37, 'name': 'Supernatural'}]",1,movie,"[{'id': 43, 'name': 'ufotable'}]",2020-08-15
Violet Evergarden,66,8.67,"[{'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}]",13,tv,"[{'id': 2, 'name': 'Kyoto Animation'}]",2018-01-11
Made in Abyss,67,8.66,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 58, 'name': 'Gore'}, {'id': 7, 'name': 'Mystery'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 76, 'name': 'Survival'}]",13,tv,"[{'id': 290, 'name': 'Kinema Citrus'}]",2017-07-07
Mushishi,68,8.66,"[{'id': 50, 'name': 'Adult Cast'}, {'id': 2, 'name': 'Adventure'}, {'id': 13, 'name': 'Historical'}, {'id': 63, 'name': 'Iyashikei'}, {'id': 7, 'name': 'Mystery'}, {'id': 42, 'name': 'Seinen'}, {'id': 36, 'name': 'Slice of Life'}, {'id': 37, 'name': 'Supernatural'}]",26,tv,"[{'id': 8, 'name': 'Artland'}]",2005-10-23
Hajime no Ippo: New Challenger,69,8.66,"[{'id': 54, 'name': 'Combat Sports'}, {'id': 27, 'name': 'Shounen'}, {'id': 30, 'name': 'Sports'}]",26,tv,"[{'id': 11, 'name': 'Madhouse'}]",2009-01-07
Howl no Ugoku Shiro,70,8.66,"[{'id': 2, 'name': 'Adventure'}, {'id': 46, 'name': 'Award Winning'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 22, 'name': 'Romance'}]",1,movie,"[{'id': 21, 'name': 'Studio Ghibli'}]",2004-11-20
Made in Abyss: Retsujitsu no Ougonkyou,71,8.65,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 10, 'name': 'Fantasy'}, {'id': 58, 'name': 'Gore'}, {'id': 7, 'name': 'Mystery'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 76, 'name': 'Survival'}]",12,tv,"[{'id': 290, 'name': 'Kinema Citrus'}]",2022-07-06
Shigatsu wa Kimi no Uso,72,8.65,"[{'id': 8, 'name': 'Drama'}, {'id': 64, 'name': 'Love Polygon'}, {'id': 19, 'name': 'Music'}, {'id': 22, 'name': 'Romance'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}]",22,tv,"[{'id': 56, 'name': 'A-1 Pictures'}]",2014-10-10
Kusuriya no Hitorigoto,73,8.64,"[{'id': 8, 'name': 'Drama'}, {'id': 13, 'name': 'Historical'}, {'id': 67, 'name': 'Medical'}, {'id': 7, 'name': 'Mystery'}]",24,tv,"[{'id': 28, 'name': 'OLM'}, {'id': 2705, 'name': 'TOHO animation STUDIO'}]",2023-10-22
